"Add to Wish List", "Lista de desejos"
"Add to Compare", "Adicione e compare"
"Your Checkout Progress", "Verificar progresso"
"Card Verification Number", "Verificação do número do cartão"
"Items %1-%2 of %3","%3 items"
"Regular Price", "Preço Médio"
"Remove item", "Remover item"
"View Order", "Ver oferta"
"Update Shopping Cart", "Atualizar Carrinho"
"Move to Wish List","Mover para lista de desejos "
"Copy to Wish List","Copiar para a lista de desejos"
"Move Selected to Wish List", "Mover item selecionado para lista de desejos"
"Copy Selected to Wish List", "Copiar item slecionado para lista de desejos"
"%1 items in wish list", "%1 items"
"1 item in wish list", "1 item na lista de desejos"
"Continue to Shipping Information", "Continuar com as informações de envio"
